Entidade,Ano,Produção Anual de Plástico,Código
Mundo,1950,2000000,OWID_WRL
Mundo,1951,2000000,OWID_WRL
Mundo,1952,2000000,OWID_WRL
Mundo,1953,3000000,OWID_WRL
Mundo,1954,3000000,OWID_WRL
Mundo,1955,4000000,OWID_WRL
Mundo,1956,5000000,OWID_WRL
Mundo,1957,5000000,OWID_WRL
Mundo,1958,6000000,OWID_WRL
Mundo,1959,7000000,OWID_WRL
Mundo,1960,8000000,OWID_WRL
Mundo,1961,9000000,OWID_WRL
Mundo,1962,11000000,OWID_WRL
Mundo,1963,13000000,OWID_WRL
Mundo,1964,15000000,OWID_WRL
Mundo,1965,17000000,OWID_WRL
Mundo,1966,20000000,OWID_WRL
Mundo,1967,23000000,OWID_WRL
Mundo,1968,27000000,OWID_WRL
Mundo,1969,32000000,OWID_WRL
Mundo,1970,35000000,OWID_WRL
Mundo,1971,38000000,OWID_WRL
Mundo,1972,44000000,OWID_WRL
Mundo,1973,51000000,OWID_WRL
Mundo,1975,46000000,OWID_WRL
Mundo,1976,54000000,OWID_WRL
Mundo,1977,59000000,OWID_WRL
Mundo,1978,64000000,OWID_WRL
Mundo,1979,71000000,OWID_WRL
Mundo,1980,70000000,OWID_WRL
Mundo,1981,72000000,OWID_WRL
Mundo,1982,73000000,OWID_WRL
Mundo,1983,80000000,OWID_WRL
Mundo,1984,86000000,OWID_WRL
Mundo,1985,90000000,OWID_WRL
Mundo,1986,96000000,OWID_WRL
Mundo,1987,104000000,OWID_WRL
Mundo,1988,110000000,OWID_WRL
Mundo,1989,114000000,OWID_WRL
Mundo,1990,120000000,OWID_WRL
Mundo,1991,124000000,OWID_WRL
Mundo,1992,132000000,OWID_WRL
Mundo,1993,137000000,OWID_WRL
Mundo,1994,151000000,OWID_WRL
Mundo,1995,156000000,OWID_WRL
Mundo,1996,168000000,OWID_WRL
Mundo,1997,180000000,OWID_WRL
Mundo,1998,188000000,OWID_WRL
Mundo,1999,202000000,OWID_WRL
Mundo,2000,213000000,OWID_WRL
Mundo,2001,218000000,OWID_WRL
Mundo,2002,231000000,OWID_WRL
Mundo,2003,241000000,OWID_WRL
Mundo,2004,256000000,OWID_WRL
Mundo,2005,263000000,OWID_WRL
Mundo,2006,280000000,OWID_WRL
Mundo,2007,295000000,OWID_WRL
Mundo,2008,281000000,OWID_WRL
Mundo,2009,288000000,OWID_WRL
Mundo,2010,313000000,OWID_WRL
Mundo,2011,325000000,OWID_WRL
Mundo,2012,338000000,OWID_WRL
Mundo,2013,352000000,OWID_WRL
Mundo,2014,367000000,OWID_WRL
Mundo,2015,381000000,OWID_WRL
Mundo,2016,400050000,OWID_WRL
Mundo,2017,420052500,OWID_WRL
Mundo,2018,441055140,OWID_WRL
Mundo,2019,459746020,OWID_WRL
